dep,arr
강릉 [200],고양화정[115]
강릉 [200],광명(KTX역)[125]
강릉 [200],대전복합[300]
강릉 [200],서울경부[010]
강릉 [200],원주 [240]
강릉 [200],광명(철산역)[126]
강릉 [200],파주문산[045]
강릉 [200],파주운정[046]
강릉 [200],횡성(휴)상행[239]
강릉 [200],홍대조치원[354]
경주 [815],광주 [500]
경주 [815],대전복합[300]
경주 [815],대구동양[802]
경주 [815],부산 [700]
경주 [815],서울경부[010]
경주 [815],선산(휴)상행[813]
경주 [815],홍대조치원[354]
고대세종[355],서울경부[010]
고양백석[116],충주 [420]
고양화정[115],강릉 [200]
고양화정[115],광주 [500]
고양화정[115],전주 [602]
고양화정[115],정안(휴)하행[315]
고양화정[115],횡성(휴)하행[238]
고흥 [540],서울 [020]
고흥 [540],정안(휴)상행[316]
공주 [320],서울경부[010]
공주 [320],홍대조치원[354]
광명(KTX역)[125],강릉 [200]
광명(KTX역)[125],속초 [230]
광명(KTX역)[125],오산 [127]
광명(KTX역)[125],전주공용[602]
광명(KTX역)[125],호남제일문[605]
광명(철산역)[126],강릉 [200]
광명(철산역)[126],속초 [230]
광명(철산역)[126],오산 [127]
광명(철산역)[126],전주공용[602]
광명(철산역)[126],호남제일문[605]
광양 [520],김해 [735]
광양 [520],남청주 [402]
광양 [520],당진 [312]
광양 [520],대전시외[302]
광양 [520],호남제일문[605]
광양 [520],서울남부[050]
광양 [520],송도 [106]
광양 [520],울산시외[714]
광양 [520],인천공항[105]
광양 [520],정안(휴)상행[316]
광양 [520],청사시외[306]
광양 [520],청주시외[401]
광양 [520],통영 [730]
광주 [500],경주 [815]
광주 [500],고양화정[115]
광주 [500],고현 [732]
광주 [500],구미 [810]
광주 [500],내서 [706]
광주 [500],당진 [312]
광주 [500],대전복합[300]
광주 [500],대전청사[305]
광주 [500],대구중앙[804]
광주 [500],정안(휴)상행[316]
광주 [500],마산 [705]
광주 [500],부산 [700]
광주 [500],서부산(사상)[703]
광주 [500],상봉 [040]
광주 [500],서대구 [805]
광주 [500],서울 [020]
광주 [500],섬진강 [527]
광주 [500],성남(분당)[120]
광주 [500],송도 [106]
광주 [500],수원 [110]
광주 [500],시흥(시화)[195]
광주 [500],안산 [190]
광주 [500],안성 [130]
광주 [500],용인 [150]
광주 [500],용인신갈[111]
광주 [500],울산 [715]
광주 [500],원주 [240]
광주 [500],유성 [360]
광주 [500],의정부 [170]
광주 [500],인천 [100]
광주 [500],인천공항[105]
광주 [500],장승포 [731]
광주 [500],전주 [602]
광주 [500],정안(휴)상행[316]
광주 [500],진주 [722]
광주 [500],천안 [310]
광주 [500],청주 [400]
광주 [500],춘천 [250]
광주 [500],통영 [730]
광주 [500],포항 [830]
광주 [500],호남제일문[605]
구리 [169],부산 [700]
